Contexto,Low-level Topic,Medium-level Topic,High-level Topic,Source,Author,Translation
"El término demencia se define como un síndrome clínico adquirido, ocasionado por una disfunción cerebral reversible o irreversible. Su principal característica es el severo deterioro de la funciones cognitivas, asociado con frecuencia a trastornos psicológicos y de la conducta, y, en ocasiones, a trastornos del movimiento. La severidad del deterioro cognitivo es de tal magnitud que se compromete la funcionalidad del individuo afectado, de manera tal que éste se vuelve incapaz para realizar sus actividades de la vida diaria de manera independiente. En todos los casos se debe cumplir los siguientes elementos: La persona afectada experimenta un severo deterioro neurocognitivo desde un nivel normal de funcionamiento previo, lo que lo diferencia de la discapacidad intelectual; El deterioro neurocognitivo puede afectar diferentes dominios cognitivos y funcionales, los cuales se asocian con disfunción de distintas redes neuronales: atención compleja, función ejecutiva, aprendizaje y memoria, lenguaje, habilidades perceptuales motoras y cognición social; El deterioro neurocognitivo interfiere con la capacidad de desarrollar de manera independiente las actividades de la vida diaria. Usualmente, en estad íos iniciales de la demencia se afectan las actividades más complejas como el trabajo y/o las actividades sociales y/o las relaciones interpersonales. En estadías tardíos de la demencia se comprometen actividades de menor complejidad, como las de autocuidado o las actividades básicas. La persona con demencia paulatinamente va requiriendo del apoyo de terceros en sus actividades habituales, y no se pueden desempeñar de manera independiente; El deterioro neurocognitivo no solo se determina a través de la historia clínica y antecedentes del paciente y su exámen físico - se debe confirmar el deterioro neurocognitivo por medio de pruebas cognitivas estandarizadas breves (que las realiza cualquier profesional médico), y en la mayoría de casos deben complementarse con una evaluación neuropsicológica detallada (realizada por especialistas en neurología cognitiva o neuropsicología); Los trastornos neurocognitivos no están presentes exclusivamente durante un episodio confusional y no están causados por algún trastorno psiquiátrico; por lo que es muy importante, no realizar diagnósticos de deterioro cognitivo en situaciones de enfermedades agudas.",El sindrome demencia,Capitulo 1: La importancia de reconocer los síntomas de las demencias,Sobre demencia,Reconociendo los sintomas en pacientes con demencia,Nilton Custodio y Rosa Montesinos,No
"Porque cuando aparece un síntoma conductual, generalmente los síntomas cognitivos no han sido detectados por la familia, a pesar que aparecieron hace varios años. Con mucha frecuencia una persona adulta mayor que debuta con síntomas conductuales de manera brusca (""de la noche a la mañana"") caracterizados por agitación psíquica nocturna, alucinaciones visuales, paranoia y tal vez agresividad verbal/física lo realiza en un contexto de una enfermedad médica (infección urinaria, elevación de presión arterial, impactación fecal, diarreas con deshidratación) o quirúrgica (programada o de emergencia), episodio conocido como delirio. Habitualmente, cuando se realiza la evaluación detallada de síntomas cognitivos, la mayoría de ellos o casi todos han tenido en los pasados 2 a 3 años, problemas progresivos con la memoria de hechos recientes (referidos como olvidos frecuentes, conversación repetitiva, pérdida de documentos, anotaciones frecuentes en las agendas), de lenguaje (problemas para denominar objetos de uso común) o de orientación (en el tiempo y luego en el espacio) y han perdido las capacidades para realizar actividades de vida diaria fuera de la casa. Y lo más importante, es que debemos esperar un tiempo prudencial de treinta días para realizar la evaluación clínica, cognitiva, conductual y funcional del paciente, con la finalidad de establecer un diagnóstico de síndrome demencial más preciso. Porque existen algunas condiciones que pueden simular todos los síntomas de una demencia y no serlo. Suele pasar con aquellos que tienen deficiencia de vitamina B 12, en algunos casos de hipotiroidismo o en hidrocefalia, en algunos casos de depresión y en casos de deficiencias de atención sin hiperactividad no diagnosticadas en la infancia; las cuales tratadas de manera oportuna, pueden remitir los síntomas total o parcialmente y se les conoce como ""demencias reversibles"" o ""demencias tratables"", antiguamente conocidas como ""pseudodemencias"". Porque nos permite diferenciar el deterioro cognitivo normal de las personas adultas mayores del deterioro cognitivo progresivo. Pues, es normal que conforme pasan los años las habilidades de la memoria semántica se vayan diluyendo como pasa con la recuperación de la información altamente específica, sobre todo con los nombres de personas que no son de visita frecuente (compañeros del colegio, de la universidad o del trabajo). Así mismo, la memoria de procedimientos y la memoria de trabajo se tornan frágiles por lo que el adulto mayor requiere más tiempo para aprender nuevas tareas y tiene dificultad para realizar varias actividades al mismo tiempo. Además se observa en el área del lenguaje, que los adultos mayores tienden a producir definiciones más largas, utilizando explicaciones y descripciones de muchas palabras (""se van por las ramas""). Pero, lo que no debe variar y debe llamar la atención de las familias son los problemas de la memoria episódica de hechos recientes (no recordar el desayuno de la mañana, o el almuerzo de ayer), de la orientación (en el tiempo y en el espacio, manifestado como dificultad para regresar a su casa desde el mercado) y la capacidad de denominación de objetos de uso común (detallar las características del objeto que se encuentra frente a él/ella, pero no poder dar el nombre correcto con el que años atrás lo conocía y denominaba adecuadamente; pasa habitualmente con los utensilios de la cocina o prendas de vestir). Es importante recordar, que un síntoma aislado no significa mucho; pero la suma y la declinación progresiva de varios de ellos debe requerir una atención especializada. Porque conociendo la historia de cada etapa de su vida y la personalidad podemos sospechar la emergencia de posibles síntomas conductuales y con ello las medidas no farmacológicas de manera individualizada. De esta manera, por lo general un adulto mayor que durante su vida ha sido ordenado, pasivo y ""pegado a las reglas"", durante la manifestación clínica de la enfermedad de Alzheimer, podría manifestar síntomas de apatía y tolerar mejor las delusiones visuales. Mientras que un adulto mayor que es definido por sus familiares como hiperactivo, apurado, ""todo lo hacía rápido"", a veces intolerante y ""renegón"" sería más propenso a tener episodios de angustia, agitación psíquica nocturna, paranoias, alucinaciones visuales y tal vez, agresividad física. Además, nos permite identificar aquellos síntomas conductuales que no van a mejorar con medicación anti-psicótica como deambular sin rumbo, vestir/desvestir en lugares distintos al dormitorio, balanceo persistente en la silla, conductas orales repetitivas y ocultar o acapar cosas. Porque la primera evaluación nos permite conocer los detalles de los síntomas del paciente, los cuales se pueden seguir en cada consulta posterior sí son reconocidos y agrupados como síntomas funcionales, cognitivos, psicológicos y conductuales de la demencia, de tal manera que los cuidadores aprenden a tomar atención a dichas manifestaciones de manera ordenada y detallada. Lo más importante, es que nos ayuda a explicar a las familias el objetivo de los tratamientos sintomáticos farmacológicos disponibles; pues todos ellos mejoran la funcionalidad básica, preservan la funcionalidad instrumental, evitan la aparición de síntomas psicológicos y conductuales o acortan el tiempo prudencial de los anti-psicóticos, sin modificar la evolución del deterioro de los síntomas cognitivos. Dicho de manera grosera, los medicamentos no mejoran/recuperan la memoria, el lenguaje y la orientación perdidos por la enfermedad; pero sí mejoran la calidad de vida del paciente y de la familia al preservar sus actividades de vida diaria no afectadas.",La importancia de reconocer y discriminar los síntomas de las demencias,Capitulo 1: La importancia de reconocer los síntomas de las demencias,Sobre demencia,Reconociendo los sintomas en pacientes con demencia,,No
"Lamentablemente aún persiste una terminología obsoleta al referirnos a las demencias; sobre todo el término ""demencia senil"" carece de toda base científica, pues presupone que sus síntomas son parte del envejecimiento cognitivo normal. Si bien las demencias son significativamente más frecuentes en personas de edad avanzada, éstas no son sólo una consecuencia inevitable del envejecimiento, pues afectan también a personas más jóvenes. No existe una ""demencia senil"", sino demencias con causas por enfermedades específicas, independientes de la edad del enfermo. Es preferible usar el término demencias de inicio temprano y demencias de inicio tardío para referirnos a aquellas que aparecen antes y después de los 65 años de edad, respectivamente. En ese sentido, el término ""achaques de la ateroesclerosis"" genera también la percepción equivocada de síntomas cognitivos relacionados al envejecimiento a consecuencia del depósito de colesterol en los vasos sanguíneos cerebrales, por lo que no requiere una evaluación especializada. Debemos recordar que __ Si bien es cierto la demencia más frecuente (en el 60% de los casos) es la enfermedad de Alzheimer, caracterizada en sus estadios iniciales por problemas de memoria de hechos recientes y en la denominación; existen otros tipos de demencia cuyos síntomas cognitivos no empiezan con problemas de memoria. Así tenemos que la demencia vascular, se caracteriza por problemas disejecutivos (lentitud para planificar, tomar decisiones, realizar más de una tarea a la vez); la demencia frontotemporal en su variante conductual, empieza con problemas de conducta, como apatía o desinhibición, pérdida de la empatía, falta de adaptación a las normas sociales, y luego problemas disejecutivos; la demencia asociada a la enfermedad de Parkinson, empieza primero con los sintomas motores de rigidez, temblor de extremidades y lentitud de la marcha, y luego se agrega síntomas cognitivos caracterizados por problemas visuo-constructivos y visuo-espaciales a la par que aparecen los síntomas conductuales como alucinaciones visuales. La mayoría de familiares y cuidadores llevan a los pacientes a consulta cuando aparecen los síntomas conductuales que alteran su tranquilidad, debido a agitación psiquica nocturna, alucinaciones visuales, conductas paranoides o por falsas identificaciones; pero suelen no tomar atención a los síntomas cognitivos de memoria y orientación que aparecieron varios años atrás, pues consideraron que aquellos síntomas eran propios del envejecimiento, de tal manera que les cuesta aceptar que la enfermedad empezó con dichos problemas cognitivos y que las manifestaciones conductuales motivo de consulta son expresiones clínicas de estadios moderados o avanzados de algún tipo de demencia. Los errores frecuentes que asumimos ante la evidencia de cambios en el perfil cognitivo, conductual y funcional de una persona de la tercera edad es: su prueba cognitiva breve es normal; asumir que empezó con cambios en conducta, asumir que solo empieza con problemas de memoria, asumir que es demencia senil, asumir que achaques de la ateroesclerosis. Otro problema derivado de la evaluación inicial de pacientes que consultan por problemas cognitivos se origina con el uso de pruebas cognitivas breves (son las pruebas realizadas por los profesionales de salud no especialistas en neuropsicología) no validadas a nuestra realidad, habitualmente desarrolladas en países de altos ingresos y que incluyen funciones cognitivas que se alteran recién en estadios moderados de las demencias; por lo que una proporción importante de personas de alta educación (más allá de la educación superior técnica o con más de 12 años de educación regular) pueden obtener puntajes normales y asumir erróneamente que el paciente no tiene problemas cognitivos. En el otro extremo, personas cognitivamente sanas con baja educación e iletrados pueden obtener bajos puntajes en las pruebas cognitivas breves debido a la falta de adaptación de la prueba y asumir equivocadamente que tienen problemas cognitivos.",La demencia no es resultado del envejicimiento,Capitulo 1: La importancia de reconocer los síntomas de las demencias,Sobre demencia,Reconociendo los sintomas en pacientes con demencia,,No
"La demencia es un síndrome clínico, y no una enfermedad específica. Múltiples enfermedades cerebrales, algunas de ellas reversibles, pueden causar demencia y se puede clasificar desde diferentes puntos, pero se prefiere usar los siguientes tres criterios:
Clasificación basada en la sintomatología clínica. Se diferencian por el predominio de determinados trastornos cognitivos y/o del comportamiento y/o asociación con otros trastornos neurológicos, como trastornos motores (es decir, trastornos neurocognitivos). Por ejemplo, en la demencia tipo Alzheimer predominan los trastornos de la memoria episódica y en la demencia frontotemporal, variante conductual predominan los trastornos de la conducta y de las funciones ejecutivas. 
Clasificación basada en la etiopatogenia, que significa basada en el origen. Se plantean tres etiologías principales: a) demencias secundarias, generalmente a una enfermedad médica sistémica, como una infección (sífilis, tuberculosis, virus de inmunodeficiencia humana) o un trastorno metabólico (deficiencia de vitamina B12, hipotiroidismo, cirrosis del higado, insuficiencia renal, entre otros); b) demencias vasculares, por lesiones cerebrovasculares en el cerebro, como infartos o hemorragias; y) demencias neurodegenerativas, por muerte acelerada de poblaciones neuronales. Sin embargo, es frecuente la coexistencia de varias patologías, particularmente con lesiones vasculares, que se conocen como demencias mixtas.
Clasificación basada en el perfil evolutivo. a) demencia de instalación
aguda; b) demencia rápidamente progresiva; b) demencia de instalación
crónica.
De tal manera, que es mejor pensar en demencia como un síndrome clínico que puede ser causado por diferentes enfermedades cerebrales, por lo que el proceso diagnóstico debe dividirse en dos grandes etapas i) etapa 1: establecer la existencia de un trastorno demencial; y ii) etapa 2: establecer el tipo de demencia; por lo que al completar el diagnóstico, se recomienda precisar los términos, de tal manera que es pertinente decir demencia de tipo Alzheimer o demencia asociada a la enfermedad de Alzheimer, demencia de tipo frontotemporal, o demencia no especificada si el caso no completa todos los criterios. Otro de los avances más significativos en el estudio de las demencias es la identificación de diferentes tipos de enfermedades neurodegenerativas causantes de demencias y un mayor conocimiento de su curso temporal. Hoy sabemos que el diagnóstico clínico de una demencia causada por una enfermedad neurodegenerativa es precedido por distintos estados preclínicos y clínicos, que anteceden el diagnóstico de demencia por muchos años, incluso décadas. Por ende, la demencia, cuando es causada por una enfermedad neurodegenerativa, representa un estadía tardío de la enfermedad. Además, se ha descrito el síndrome de deterioro cognitivo leve, trastorno cognitivo menor o trastorno conductual leve para referirse a los individuos que presentan un deterioro cognitivo leve o un trastorno conductual adquirido, pero se preserva la independencia para las actividades de la vida diaria.",Los principales tipos de demencias,Capitulo 1: La importancia de reconocer los síntomas de las demencias,Sobre demencia,Reconociendo los sintomas en pacientes con demencia,,No
"Debemos precisar que demencia es el resultado de la afectación de las funciones cognitivas, que comprometen el normal desempeño de las actividades de la vida diaria y con ello, la capacidad funcional del individuo. Pero, es más facil recordarlo con un ejemplo: veamos el caso de una persona de 60 años, contador en una empresa estatal en plena actividad laboral que paulatinamente presenta problemas en la memoria de trabajo (""no recuerda las claves de acceso a las computadoras"", ""no puede realizar varias actividades por vez"", ""trabaja muy concentrado"" y ""si lo interrumpen, no puede continuar con lo que estaba haciendo previamente""), en la atención (""es distraído durante las reuniones de directorio"" y ""no emite comentarios respecto a los avances de su oficina""); luego de unos meses, además se presentan problemas en un área del lenguaje, como la denominación (""empieza con conversaciones entrecortadas y prolongadas a la vez, porque pierde algunas palabras y busca sinónimos o requiere dar muchos detalles para hacerse entender y a exagerar los gestos para solicitar algún artículo de escritorio como engrapador o perforador debido a que no logra denominar con la palabra adecuada"") y más adelante presenta problemas en la fluencia (""disminución de la cantidad normal de palabras""), por lo que se torna menos comunicativo. Hasta aquí se observan síntomas cognitivos; pero luego de ello, aparecieron síntomas de irritabilidad (""reniego porque las personas no me entienden, a pesar que me esfuerzo por encontrar las palabras""), poca tolerancia y algunas veces agresividad verbal (""pelea con el taxista a quien pide que lo lleve a su trabajo, debido a que se equivoca al referir la dirección""), es decir aparecen algunos síntomas psicológicos y conductuales. Todo ello ocasiona un bajo rendimiento laboral (necesita asistencia por los compañeros de trabajo, y sus jefes llaman la atención con sanciones administrativas) que condiciona una jubilación anticipada, pues ya existe compromiso de la funcionalidad o de la capacidad funcional, en este caso del tipo ocupacional, social y familiar; es decir aparecen los síntomas funcionales. Como vemos, se trata de un individuo que presenta síntomas cognitivos, algunos síntomas psicológicos y conductuales, los cuales han originado síntomas funcionales o compromiso de la ""funcionalidad""; es decir cumple con los criterios clínicos de demencia, por lo que amerita una evaluación amplia antes de determinar el tipo de demencia que en este caso, podría ser degenerativa; por ejemplo, afasia primaria progresiva, un sub-tipo de demencia frontotemporal. Es importante recalcar, que si bien es cierto, los síntomas psicológicos y conductuales son frecuentes en todos los tipos de demencia, éstos no forman parte de los criterios clínicos para el diagnóstico de demencia. En general, los síntomas psicológicos y conductuales de las demencias se presentan en estadios moderados o avanzados de la enfermedad de Alzheimer; por ejemplo la agitación psíquica nocturna, las alucinaciones visuales y las paranoias; aunque en algunos casos depresión podría ser prodrómos de demencia, como en la enfermedad de Alzheimer, demencia vascular o en demencia frontotemporal. Por otro lado, desinhibición de la conducta o apatía pueden ser los síntomas iniciales de la variante conductual de la demencia frontotemporal. Además, cuando empiezan los síntomas cognitivos no se puede predecir la evolución hacia estados finales de demencia, sin embargo según estudios de seguimiento longitudinal se ha establecido el riesgo anual de evolucionar a demencia de un estadio pre-demencia como el deterioro cognitivo leve en 10% a 14%; mientras que la queja cognitiva subjetiva y el déficit cognitivo asociado e edad, tienen bajo riesgo de evolución a demencia. Entonces, para entender los síntomas de las demencias es pertinente definir primero, pero brevemente el significado de las principales funciones cognitivas (llamadas también funciones mentales superiores) así como de la funcionalidad, para luego comprender sus alteraciones, precisando para ello una serie de ejemplos en los siguientes capítulos.",Definiendo deterioro cognitivo y demencia,Capitulo 2: Definiendo deterioro cognitivo y demencia,Sobre demencia,Reconociendo los sintomas en pacientes con demencia,,No
"En términos simples, las ""funciones cognitivas"" son las habilidades del individuo
para captar o tener la idea de una cosa o de algo, llegar a conocer su naturaleza,
cualidades y relaciones mediante el empleo de los órganos de los sentidos y un
complejo sistema cerebral. Las funciones cognitivas principales son la memoria, orientación, atención y concentración, lenguaje, calculo, praxia, funciones ejecutivas, funciones visuo-espaciales, funciones visuo-constructivas y cognición social. Memoria: Proceso por medio del cual la información o estímulo (la cual puede ser verbal, visual, auditiva, olfativa, de procedimientos) ingresa a una estructura específica del cerebro (hipocampo en el lóbulo temporal medial), se codifica, se almacena y luego, más tarde, se recupera. Es decir es la facultad del cerebro que permite recordar experiencias pasadas y registrar otras nuevas.
Orientación: Se refiere a la capacidad de darse cuenta y precisar la información en el espacio y en el tiempo, de tal manera que permite reconocer el lugar y alrededores de donde se encuentra así como las fechas, días, meses, estaciones y año actual.
Atención y concentración: Es la capacidad de seleccionar la información y dirigir los procesos mentales hacia dicho objetivo por un tiempo determinado. De esta manera, podemos tener noción de las actividades que se realizan, por ejemplo en dónde dejo las llaves.
Lenguaje: Podemos considerarlo como el proceso responsable de la integración y la emisión de los mensajes lingüisticos, que involucra a la capacidad de emitir las palabras, comprender, repetir, denominar, leer y escribir. Es exclusiva de la especie humana.
Cálculo: Es la capacidad del individuo de expresar algunas habilidades matemáticas.
Praxia: Es la capacidad de ejecutar una serie de actos concatenados y automáticos previamente aprendidos. Un ejemplo es el acto de encender un cigarrillo con un cerillo de fosforo, abrir el candado con una llave o el acto del cepillado de dientes con pasta dentífrica y cepillo de dientes.
Funciones ejecutivas: se refieren a un amplio conjunto de funciones de autorregulación que permiten el control, organización y coordinación de otras funciones cognitivas, respuestas emocionales y comportamientos. En resumen, hace referencia a la capacidad de hallar soluciones para un problema novedoso llevando a cabo predicciones de las consecuencias a las que nos puede llevar cada una de las soluciones imaginadas. Piense usted, en todos los procesos que lleva a cabo cuando desea programar un viaje de vacaciones: planificar las fechas; llamar a la agencia de viajes o al operador de vuelos o de transporte terrestre, decidir el hospedaje; cambiar sus planes de acuerdo a sus posibilidades económicas; cuando llega el día de partir, tomar decisiones para superar los incidentes del tráfico para llegar a tiempo; manejar sus emociones antes los inconvenientes no previstos al llegar a su destino. Todas estas actividades, involucran a las funciones ejecutivas y son el reflejo del funcionamiento de un parte de su cerebro, denominada corteza pre-frontal.
Funciones visuo-espaciales: son aquellas que nos permiten analizar, comprender y manejar el espacio en el que vivimos. Por las funciones visuoespaciales, tenemos conciencia de nuestra posición en el espacio en relación con otros objetos, así como la relación de unos objetos respecto a otros. Por ello, es que usted, puede calcular las distancias y no chocar con los objetos alrededor suyo; o puede imaginar rotando figuras de manera tridimesional.
Funciones visuo-constructivas: La habilidad constructiva, denominada también praxia constructiva o capacidad visuo-constructiva, hace referencia a la capacidad para dibujar o realizar construcciones bidimensionales o tridimensionales. Con esta habilidad usted es capaz de dibujar un rectángulo, un rombo, un círculo, rectángulos interpuestos o figuras tridimensionales como un cubo. Pero también, puede dibujar un reloj de manecillas.
Cognición Social: se refiere a cómo las personas procesan, almacenan y aplican información sobre otras personas y situaciones sociales. Se centra en el papel que desempeñan los procesos cognitivos en nuestras interacciones sociales. La forma en que pensamos sobre los demás juega un papel importante en la forma en que pensamos, sentimos e interactuamos con el mundo que nos rodea. Las personas no nos acercamos a las situaciones como observadores neutrales, sino que llevamos nuestros propios deseos y expectativas, que influyen en lo que vemos y recordamos. Por ejemplo, podemos darnos cuenta de las emociones de las demás personas, medir el grado de empatía, interpretar sus emociones y juicios morales, interpretar sus palabras mientras nos hablan y relacionarlas con sus gestos, tomar decisiones de acuerdo a ciertas circunstancias como frente a un juego de naipes o ante situaciones financieras.",Funciones Cognitivas,Capitulo 2: Definiendo deterioro cognitivo y demencia,Sobre demencia,Reconociendo los sintomas en pacientes con demencia,,No
"Llamada también ""capacidad funcional"", se refiere a la preservación de las actividades de la vida diaria del individuo mayor que permiten una adecuada función a nivel ocupacional, social y familiar. Las actividades de la vida diaria (AVO) pueden ser básicas, instrumentales y avanzadas. Las AVO básicas incluyen la capacidad de comer, caminar, usar los servicios higiénicos y realizar el aseo personal sin ayuda o asistencia; mientras que las AVO instrumentales involucran el uso de instrumentos o utensilios domésticos, como el uso correcto del teléfono, prender o apagar el televisor, el uso del control remoto de otros electrodomésticos, usar el transporte público, colaborar en la preparación de los alimentos, poner la mesa, o recoger los deshechos y ponerlos en el tacho de basura. Finalmente, las AVO avanzadas se refieren a la capacidad de integración con la sociedad, comunidad y roles familiares. Se identifican como actividades dirigidas al cuidado de otros, actividades educativas, tareas orientadas hacia la adquisición de habilidades ejecutivas y productivas como las tareas de voluntariado, planificación y ejecución de actividades recreativas o la planificación de la jubilación. En los diversos tipos de demencia, se pierden inicialmente las AVO avanzadas, luego las instrumentales y en estadios finales el paciente llega a la dependencia total, cuando se pierden las AVO básicas (gráfico 7). Así mismo, conforme se pierden las habilidades cognitivas y funcionales, y aparecen los síntomas psicológicos y conductuales se compromete la calidad de vida del paciente y se incrementa la carga del cuidador (gráfico 8). En el caso de la enfermedad de Alzheimer, los pacientes con el problema de la pérdida de la memoria de hechos recientes, inicialmente tendrán dificultades para realizar el proceso de conseguir una cita médica o conseguir una mesa en el restaurante o planificar un viaje de vacaciones o una cita con los amigos (que involucra planificar una fecha y hora, llamar por teléfono a la recepción, anotar la fecha programada, comunicar a la familia, y luego recordar que debe acudir el día programado), conforme avanza la enfermedad se agregan otros problemas cognitivos y funcionales, entonces tendrán problemas de orientación en el espacio y dificultad para tomar decisiones ante situaciones imprevistas por lo que deben salir de casa con compañía; posteriormente empiezan a tener problemas para manejar los electrodomésticos que habitualmente usaban, como el control remoto de la televisión o el horno micro-ondas, o tal vez dejan prendidas las hornillas de la cocina, dañando las ollas y el alimento en preparación (en algunos casos se originan accidentes mayores). Luego, requieren asistencia dentro de la casa para la vestimenta y actividades recreativas; y finalmente requieren ayuda para las AVO básicas. Los síntomas de las demencias afectan la calidad de vida de la familia. Probablemente, los ""olvidos"" y los ""problemas de comunicación"" podrían ser parcialmente tolerados; pero cuando los pacientes pierden su capacidad para realizar las actividades de vida diaria, generando cambios en la conducta representan una gran carga familiar, sobre todo en el cuidador principal (recordar que en Perú, habitualmente el cuidador es de sexo femenino y deja sus proyectos personales para dedicar todo su tiempo al enfermo) generando estrés del cuidador.",Funcionalidad,Capitulo 2: Definiendo deterioro cognitivo y demencia,Sobre demencia,Reconociendo los sintomas en pacientes con demencia,,No
"Es la expresión clínica de la alteración de las funciones cognitivas, que pueden incluir alteración de la memoria, orientación, atención y concentración, lenguaje, cálculo, praxia, funciones ejecutivas, visuo-espaciales, visuo-constructivas y en la cognición social. De hecho, con el paso de los años se espera un cierto grado de deterioro de algunas funciones cognitivas, que pueden formar parte del envejecimiento cognitivo saludable; pero es patológica si suman varias funciones y comprometen la funcionalidad del adulto mayor. Es pertinente mencionar que la memoria puede ser evaluada como memoria de corto plazo y memoria de largo plazo. La memoria de largo plazo, se puede evaluar por separado como la memoria declarativa (información sobre hechos) y como la memoria de procedimientos (información sobre habilidades y hábitos); mientras que la memoria declarativa a su vez, se puede evaluar mediante memoria episódica (son todos los acontecimientos y eventos vividos durante nuestra existencia) y la memoria semántica (son los conocimientos adquiridos a lo largo de los años).",Sintomas cognitivos,Capitulo 3: Los síntomas cognitivos en demencia,Sobre demencia,Reconociendo los sintomas en pacientes con demencia,,No
"Es pertinente mencionar que la memoria puede ser evaluada como memoria de corto plazo y memoria de largo plazo. La memoria de largo plazo, se puede evaluar por separado como la memoria declarativa (información sobre hechos) y como la memoria de procedimientos (información sobre habilidades y hábitos); mientras que la memoria declarativa a su vez, se puede evaluar mediante memoria episódica (son todos los acontecimientos y eventos vividos durante nuestra existencia) y la memoria semántica (son los conocimientos adquiridos a lo largo de los años). Ejemplos de la alteración de la memoria de corto plazo: La hija del señor VAT ha notado que su padre ha empezado a tener problemas con la administración de sus medicamentos para hipertensión arterial e hipotiroidismo. En los últimos meses cuando ella ha comprado los medicamentos, su padre le dice que no compre tantas dosis debido a que aún tiene de los meses previos. La hija sospecha que su padre olvida de tomar varias dosis, lo cual explica que a fin de mes tiene pastillas sobrantes, probablemente debido al olvido de tomar algunas dosis. (ver figura 3). Ejemplos de la alteración de la memoria episódica: Al inicio de la enfermedad, se afectan la memoria de hechos recientes; pero conforme pasan los años, además se presentan los problema de memoria de hechos pasados o remotos. El señor JRD recuerda con dificultad los detalles de su matrimonio religioso, celebrado hace 50 años y responde de manera general y panorámica. ""Fue la ceremonia más celebrada y comentada por mucho tiempo. Mi esposa, vestida de blanco, por supuesto estaba muy bonita, fue en una iglesia cerca al domicilio de ella, y luego celebramos una gran fiesta"". No recuerda la fecha exacta, el nombre de la iglesia, el nombre de los padrinos, el lugar de la recepción, el color de su traje y el auto que fue usado para el paseo y traslado de la iglesia al lugar de recepción. (ver figura 4). Ejemplos de la alteración de la memoria semántica: El Sr. ORG, un cantante criollo, no puede continuar con la letra de la canción popular: ""Pero regresa, para llenar el vacío ............ "" Otro ejemplo es: La Srta. NNJ, embajadora recientemente jubilada, no puede responder las siguientes interrogantes: ¿Cómo se llama el presidente del anterior gobierno?, ¿Cuál es el octavo mes del año?, ¿Qué estación del año empieza en Abril, después del verano?, ¿Cuántos días tiene un año que no sea bisiesto?. Ella justifica estos ""pequeños olvidos"" diciendo que todos los días son iguales y en los días de jubilación sólo necesita descansar y ya no requiere conocer estos datos innecesarios.",La afectacion de la memoria,Capitulo 3: Los síntomas cognitivos en demencia,Sobre demencia,Reconociendo los sintomas en pacientes con demencia,,No
"Se expresan como confusiones en el reconocimiento espacial de los lugares habituales y de las rutas que han recorrido por varios años. Se inicia con problemas para reconocer lugares fuera y lejanos en distancia de su casa, como por ejemplo el retorno del mercado o dificultades para reconocer los lugares próximos a la casa de uno de los hijos; posteriormente la confusión es además dentro de las habitaciones de la casa o dentro del edificio, cuando habitan departamentos. En las fases finales de la demencia, además no reconoce su propia habitación. Ejemplos de la alteración de la orientación en el espacio: La Sra. RZH habitualmente visita a sus nietos los miércoles por la tarde, y suele viajar en bus desde San Miguel hasta San Borja. En los último seis meses, en tres oportunidades ha debido tomar un taxi estando muy cerca a su domicilio, por dificultad para reconocer los lugares adyacentes al domicilio y no reconocer ni recordar las calles bajar en el paradero próximo a su casa, cuando el bus tuvo que variar su ruta debido a desvios imprevistos de la ruta habitual del bus debido a trabajos de parchado de pistas. (ver figura 7)",La afectación de la orientación en el espacio,Capitulo 3: Los síntomas cognitivos en demencia,Sobre demencia,Reconociendo los sintomas en pacientes con demencia,,No
