Question,Answer,Low-Level Topic,Medium-Level Topic,High-level Topic,Type of A,Page Num.,Answer Start
¿Que es la demencia?,El termino demencia se define como un sindrome clinico adquirido ocasionado por una disfuncion cerebral reversible o irreversible.,El sindrome demencia,Capitulo 1: La importancia de reconocer los síntomas de las demencias,Sobre demencia,Exact,8,
¿Cómo se define el término demencia?,"El término demencia se define como un síndrome clínico adquirido, ocasionado por una disfunción cerebral reversible o irreversible.",El sindrome demencia,Capitulo 1: La importancia de reconocer los síntomas de las demencias,Sobre demencia,Exact,,
¿Cuál es la principal característica de la demencia?,"La principal característica de la demencia es el severo deterioro de las funciones cognitivas, asociado con frecuencia a trastornos psicológicos y de la conducta, y, en ocasiones, a trastornos del movimiento.",El sindrome demencia,Capitulo 1: La importancia de reconocer los síntomas de las demencias,Sobre demencia,Not exact,,
¿Qué son las alucinaciones y cómo se definen?,Las alucinaciones son percepciones en ausencia de un objeto o estímulo externo con total convencimiento de la realidad de dicha percepción.,Las alucinaciones,Capitulo 4: Los síntomas psicológicos y conductuales en demencia,Sobre demencia,Exact,,0
¿Cuántos tipos de alucinaciones existen y cuáles son?,"Existen tantos tipos de alucinaciones como sentidos existen. Por lo tanto, tendremos alucinaciones visuales, auditivas, olfativas, gustativas y táctiles.",Las alucinaciones,Capitulo 4: Los síntomas psicológicos y conductuales en demencia,Sobre demencia,Exact,,50
¿Cuáles son las alucinaciones más frecuentes en pacientes con demencia?,"En pacientes con demencia, las alucinaciones visuales son las más frecuentes. Ellos pueden ver personas, animales o destellos de luz.",Las alucinaciones,Capitulo 4: Los síntomas psicológicos y conductuales en demencia,Sobre demencia,Not exact,,
¿Qué tipo de alucinaciones visuales son comunes en casos de pacientes con demencia?,"Las alucinaciones más frecuentes en casos de pacientes con demencia suelen ser la visión de pequeños bichos, como hormigas en el suelo, techo, en su ropa de dormir o en su plato de comida. También es común que vean a personas fallecidas, como sus padres, hermanos o familiares lejanos.",Las alucinaciones,Capitulo 4: Los síntomas psicológicos y conductuales en demencia,Sobre demencia,Not exact,,
¿Cómo se diferencian las alucinaciones visuales de las ilusiones?,"Las alucinaciones visuales deben distinguirse de las ilusiones, que son percepciones erróneas de estímulos externos reales. Por ejemplo, ver una sombra y pensar que es un ""atacante"" o al verse reflejado en un espejo, creer que alguien lo está persiguiendo.",Las alucinaciones,Capitulo 4: Los síntomas psicológicos y conductuales en demencia,Sobre demencia,Not exact,,
¿Puedes darme un ejemplo de un paciente con alucinaciones visuales?,"Sí, por ejemplo, el Sr. GRE, que tiene un diagnóstico previo de parkinsonismo, algunas noches por la madrugada, se despierta para ir al baño. Cuando regresa e intenta reiniciar el sueño, no lo logra, porque ve un perro marrón extraño que ingresa a su habitación y se recuesta al lado de la puerta frente a él. Después de varias semanas, él ha tomado conciencia de que esto no es real, pero en algunas ocasiones también ha escuchado al perro ladrar, por lo que ha tenido que levantar la voz y ordenar ""silencio"".",Las alucinaciones,Capitulo 4: Los síntomas psicológicos y conductuales en demencia,Sobre demencia,Not exact,,
¿Qué es un ejemplo de un paciente con alucinaciones visuales?,"El Sr. GRE con diagnóstico previo de parkinsonismo, algunas noches por la madrugada, se despierta para ir al baño; cuando regresa a intentar reiniciar el sueño, no lo logra, debido a que un extraño perro marrón ingresa a su habitación y se recuesta al lado de la puerta frente a él",Las alucinaciones,Capitulo 4: Los síntomas psicológicos y conductuales en demencia,Sobre demencia,Exact,,
